Year,January,February,March,April,May,June,July,August,September,October,November,December
2004,1545317,1688566,1522705,1569545,1208244,1321499,1175995,1610290,2146808,1503869,1317843,1248686
2005,1537620,1729546,1732082,1816632,1403783,1571418,1369413,1684614,2085469,1374610,1361603,1500793
2006,1719904,1998222,1609353,1883714,1401261,1378819,1391256,1871762,2590870,1327079,1369205,1524227
2007,1802916,2122069,1903327,1900364,1675661,1511930,1400379,1846860,2654296,1319123,1515288,1589324
2008,2171613,2230706,1839584,1887701,1599861,1720492,1454973,1848030,2417626,1397577,1338696,1501823
2009,1856616,2000489,1763475,1751673,1324195,1235752,1201337,1622793,2200785,1451511,1490652,1491700
2010,1956667,2154983,1966820,1910006,1392834,1559729,1624499,1980482,2709545,1995271,1248525,1662135
2011,2021235,2416005,2304935,2062094,1512830,1554242,1304006,1980408,2816687,1813320,1531689,1644147
2012,2703695,2697698,2292826,2424740,1710483,1737014,1785387,2214837,3498639,2229314,1959840,1848254
2013,2624702,2832715,2629476,2705727,1965833,1894239,2057587,2544554,3313955,2987874,2448184,2010567
2014,3694801,3135061,3850282,3204080,2381771,2295356,2461336,2975926,4135722,2776953,2771209,2465649
2015,3552404,3568921,3539567,2811804,2196455,2868615,2376336,3090309,4570847,3060124,3208760,2766916
